匕 bi3 "dagger; ladle"
氕 pie1 "protium 1h; light hydrogen, the most common isotope of hydrogen, having no neutron, so atomic weight 1"
伋 ji2 unreal
忉 dao1 grieved
宄 gui3 traitor
𬣙 xu1 "to boast; great; large"
讱 ren4 "(literary) slow in speech"
芃 peng2 "luxuriant growth"
朳 ba1 tree
屼 wu4 "bare hill"
屾 shen1 "(literary) two mountains standing next to each other"
辿 chan1 "(literary) (of one's walking pace) slow"
钆 ga2 "gadolinium (chemistry)"
仳 pi3 "to part"
伣 qian4 as
伈 xin3 "nervous; fearful"
甪 lu4 "place name"
犴 an4 jail
冱 hu4 "congealed; frozen"
邡 fang1 "name of a district in sichuan"
𬇕 man4 "overflow of water; spreading"
汋 zhuo2 "to pour"
䜣 xin1 "pleased; delighted; happy"
𬣞 zhu3 wisdom
𬘓 xun2 "bind; silkcords"
纩 kuang4 "fine floss-silk or cotton"
玒 hong2 "(a kind of jade)"
玓 di4 pearly
坜 li4 "hole, pit"
扽 den4 "to yank; to pull tight"
坋 ben4 "dust; to dust; a bank of earth; to bring together; to dig"
㧑 hui1 "to split; to direct; to brandish; humble"
毐 ai3 "by extension, person of reprehensible morals; immoral; adulterer"
芰 ji4 "trapa natans; water caltrop"
芣 fu2 "plantain herb (plantago)"
苊 e4 "acenaphthene (c12h10)"
苉 pi3 "picene (c22h14)"
芘 pi2 "malva sylvestris"
芴 wu4 "fluorene c13h10"
芴 hu1 suddenly
芤 kou1 "hollow; scallion stalk"
杕 di4 "lone-standing tree"
杙 yi4 "post for tethering animals"
杩 ma4 headboard
尪 wang1 "feeble; lame"
尨 mang2 "shaggy dog; striped"
尨 pang2 "huge; enormous"
𫐄 yue4 "crossbar for yoking horses"
芈 mi3 "to bleat (of a sheep)"
旴 xu1 dawn
旵 chan3 "(literary) (of sunlight) to beam down; to illuminate"
岍 qian1 "name of a mountain"
岜 ba1 "stony hill; rocky mountain"
呇 qi3 star
岙 ao4 "plain in the middle of the mountains"
伾 pi1 "multitudinous; powerful"
㑇 zhou4 clever
伭 xian2 "(literary) cruel; ruthless; (literary) dark red; black"
伲 ni4 "my; we; our"
飏 yang2 "to soar; to fly; to float; to spread"
狃 niu3 "accustomed to"
汧 qian1 "name of a river flowing through gansu to shaanxi province; marsh; float"
𣲘 wu3 "river in henan"
𣲗 wei2 "to flow back (of water)"
沄 yun2 "rushing of a torrent"
沘 bi3 "name of a river"
汭 rui4 river-bend
忮 zhi4 "(literary) (bound form) jealous"
忺 xian1 "(literary) to want; to desire; (literary) pleased; gratified; happy"
诇 xiong4 "(literary) to spy; to pry into"
诎 qu1 "to bend; to yield; to exhaust; to stutter"
诐 bi4 "unfair; to flatter"
𫸩 kou1 "nock at end of bow; stretch"
岊 jie2 "mountain peak"
阽 dian4 dangerous
阼 zuo4 "steps leading to the eastern door"
纮 hong2 "cord for hat; vast"
驲 ri4 "horse for relaying dispatches"
纻 zhu4 "ramie (boehmeria nivea)"
𬘘 dan3 "silk fringe of a coronet"
𫘝 kuai4 "fast (horse)"
玤 bang4 (gem)
玞 fu1 "a kind of jade"
玟 min2 "jade-like stone"
玟 wen2 "veins in jade"
邿 shi1 "place name"
坰 jiong1 "environs; wilderness"
坽 ling2 "(literary) precipitous cliff"
弆 ju3 "(literary) to collect; to keep in store"
耵 ding1 cerumen
苧 ning2 "tangled; in disarray"
苾 bi4 "(phonetic); fragrant"
苠 min2 "multitude; skin of bamboo"
枘 rui4 "tenon; tool handle; wedge"
矼 jiang1 "stone bridge"
𬨂 qi2 "end of axle"
𬀩 wei3 "the bright shining of the sun"
𬀪 xian4 "to appear (of sun)"
昇 sheng1 "(used as a surname and in given names)"
昄 ban3 "great; expansive"
昒 hu1 "daybreak; dawn; dusky; dim"
咇 bi4 fragrant
咍 hai1 "(interj.); happy; sound of laughter"
岵 hu4 "mountain covered with vegetation; the residence of one's father"
岽 dong1 "place name in guangxi province"
岨 qu1 "rocky hill"
钐 shan1 "samarium (chemistry)"
钔 men2 "mendelevium (chemistry)"
钖 yang2 "ornaments on headstall of horse"
佴 er4 assistant
侁 shen1 "large crowd"
侹 ting3 "(literary) level and straight"
佸 huo2 meet
佺 quan2 immortal
侂 tuo1 "to commission; to entrust to; to depute; to request; to ask (sb to do sth)"
佽 ci4 "nimble; to help"
侘 cha4 "boast; despondent"
郈 hou4 "place name"
舠 dao1 kayak
郐 kuai4 "name of a feudal state"
郃 he2 "name of a person"
肸 xi4 "giggle; scatter"
肷 qian3 "(usu. of an animal) the part of the side of the body between the ribs and the hipbone"
狉 pi1 "puppy badger"
忞 wen3 "disorderly; messy; chaotic"
忞 min2 "to encourage oneself"
炌 kai4 "flaming fire"
炆 wen2 "to cook over a slow fire"
沺 tian2 turbulent
泂 jiong3 vast
泜 zhi1 "a river in hebei province"
泃 ju1 "(the name of a river to the east of beijing)"
泇 jia1 "the name of a river that flows through shandong and jiangsu"
怊 chao1 "(literary) sad; sorrowful; disappointed; frustrated"
峃 xue2 "big rocky mountain"
穸 xi1 tomb
祊 beng1 "side altar inside ancestral temple"
𬩽 xun2 "place name"
鸤 shi1 turtledove
弢 tao1 "bow case; to cover"
弨 chao1 "unbent bow"
陑 er2 "place name"
𬯀 ji1 "to go up; to fall; rainbow; mist"
卺 jin3 "nuptial wine cup"
乸 na3 "postfix indicating feminine"
妭 ba2 "(literary) beautiful woman"
姈 ling2 "(literary) (of a woman) intelligent; (used mostly in female names)"
迳 jing4 "way; path; direct; diameter"
𬳵 pi1 (horse)
驵 zang3 "powerful horse"
𬳶 jiong3 "in good condition (as a horse)"
䌹 jiong3 "monotone garment with no lining"
绋 fu2 "heavy rope; rope of a bier"
绐 dai4 "to cheat; to pretend; to deceive"
砉 hua1 "sound of a thing flying fast by; whoosh; cracking sound"
砉 xu1 "sound of flaying"
耔 zi3 "hoe up soil around plants"
㛃 jie2 "(mostly used in given names)"
玶 ping2 "name of one kind of jade"
珇 zu3 "carving on jade"
珅 shen1 "a kind of jade"
𬍛 li4 "brilliance (pearls)"
珋 liu3 "(literary) lustrous precious stone"
玹 xuan2 "jadelike precious stone; jade-colored"
珌 bi4 "gem on scabbard"
玿 shao2 "(literary) a kind of fine jade"
韨 fu2 kneepad
垚 yao2 embankment
垯 da5 "pimple; mound"
垙 guang1 "(literary) footpath separating fields"
垲 kai3 "dry terrain"
埏 yan2 boundary
埏 shan1 "to mix water with clay"
垍 ji4 "hard earth"
耇 gou3 "wrinkled face of the elderly"
鿍 gang4 "hill; long and narrow highland"
垎 he4 "(literary) (of soil) dry and hard"
垴 nao3 "small hill"
垟 yang2 "clay sheep buried with the dead"
垞 cha2 "mound; small hill"
挓 zha1 "to open out; to expand"
垏 lü4 "(literary) earth ridge between fields"
拶 zan3 "to press or squeeze hard"
荁 huan2 "(vegetable); viola vaginata"
荙 da2 "plantago major"
荛 rao2 "fuel; grass"
茈 zi3 "common gromwell or european stoneseed (lithospermum officinale)"
茽 zhong4 "vegetation growing thickly"
荄 gai1 "roots of plant"
茛 gen4 ranunculus
柷 zhu4 "percussion instrument, a tapering wooden box struck on the inside with a wooden stick"
柃 ling2 "eurya japonica"
枹 fu1 "quercus glandulifera"
郚 wu2 "place name"
剅 lou2 "small channel across a river embankment"
䴓 shi1 "nuthatch (bird of genus sitta)"
厖 pang2 huge
砆 fu1 "agate; inferior gem; a kind of jade"
砑 ya4 "to calender"
砄 jue2 "stone; rock"
耏 er2 beard
奓 zha4 "to open; to spread"
䶮 yan3 "high and bright"
轵 zhi3 "end of axle outside of hub"
轹 li4 "to bully; wheel-rut"
轺 yao2 "light carriage"
昺 bing3 "bright; glorious"
𪾢 xian4 goggle-eyed
咡 er4 "space between mouth and ears"
咺 xuan3 "glorious; sob; weep"
昳 die2 "the declining sun in the west"
昣 zhen3 "(literary) bright"
哒 da1 "(phonetic); command to a horse; clatter (of horses' hoofs)"
昤 ling1 sunshine
昡 xuan4 "long day; extended; relaxed"
咥 xi4 "loud laugh"
咥 die2 "gnaw; bite"
虷 gan1 worm
哃 tong2 "(literary) to talk nonsense; to boast"
帡 ping2 "to cover; screen; awning"
钘 xing2 "long-necked wine flask"
𫓧 fu1 "(literary) fodder chopper; (chemistry) flerovium"
钜 ju4 "hard iron; hook"
𬬮 chang3 "sharp; a keen edge; sharp point"
𬬭 lun2 "(metal); roentgenium (chemistry)"
钪 kang4 "scandium (chemistry)"
钬 huo3 "holmium (chemistry)"
钭 tou3 "a wine flagon"
矧 shen3 (interrog.)
秬 ju4 "black millet"
舁 yu2 "to lift; to raise"
俜 ping1 "to send; to let go"
俍 liang2 "(literary) to be good at; to be expert in; (literary) skilled craftsman"
垕 hou4 thick
衎 kan4 pleased
舣 yi3 "to moor a boat to the bank"
弇 yan3 "to cover; trap"
鸧 cang1 oriole
胠 qu1 "flank of animal; side; to pry open; to steal"
胩 ka3 "carbylamine; isocyanide"
朏 fei3 "(literary) (of the crescent moon) to begin to shine"
飐 zhan3 "to sway in the wind"
訄 qiu2 "(literary) to coerce sb; to compel sb"
庤 zhi4 "to prepare"
疢 chen4 (disease)
炣 ke3 "(literary) fire; flame"
炟 da2 "to catch fire"
洿 wu1 "dig (a pond); stagnant water"
泚 ci3 "clear; bright and brilliant"
浈 zhen1 "river in guangdong province"
洸 guang1 "sparkling water"
洑 fu2 "undercurrent eddy"
洚 jiang4 flood
洺 ming2 "name of a river"
洨 xiao2 "xiao river in hebei province"
浐 chan3 "name of a river in shaanxi province"
㳘 chong1 "(literary) (of a mountain stream) to flow down"
洴 ping2 "wash; bleach (fabric)"
恔 xiao4 cheerful
宬 cheng2 "(literary) archive room; library (esp. in the imperial palace in the ming and qing dynasties)"
窀 zhun1 "to bury"
扂 dian4 "door latch"
袆 hui1 "a queen's ceremonial gowns"
祏 shi2 "stone shrine"
祐 you4 "(of divinity) to bless; to protect"
陧 nie4 dangerous
姱 kua1 "fascinating; pretty"
姤 gou4 "copulate; good"
姶 e4 "wonderful; beautiful"
姽 gui3 "quiet and nice"
枲 xi3 "male nettle-hemp"
绖 die2 "hempen band worn on the head or waist by a mourner"
骃 yin1 "iron-gray (horse)"
𬘡 yin1 "generative force; magic emanation"
𬳽 shen1 "large crowd"
𫄧 yan2 "cap tassels"
骉 biao1 "a horde of horses"
珛 xiu4 "quickly-deteriorating jade"
珹 cheng2 "a kind of jade; a kind of pearl"
玼 ci3 "clear (as in a gem)"
珖 guang1 (jade)
𪟝 ji4 merit
珽 ting3 scepter
珦 xiang4 "a kind of jade"
珒 jin1 "a kind of jade"
珝 xu3 "a kind of jade"
埗 bu4 "wharf; dock; jetty; trading center; port; place name"
垾 han4 "small dike"
垺 pou2 "extremely large"
埆 que4 "(of land) barren; stony"
埌 lang4 "wasteland; wild"
埇 yong3 "raised path"
莰 kan3 "camphane c10h18"
鄀 ruo4 "place name"
莝 cuo4 "to chop straw fine for animals"
莙 jun1 "species of water plant"
栻 shi4 (tree)
桠 ya1 "forking branch"
桄 guang4 "woven wood and bamboo utensil; classifier for threads and strings"
梠 lü3 "beam at the eaves"
梴 chan1 "length (of a tree or beam); long"
栒 xun2 "cross bar"
酎 zhou4 "strong wine"
酏 yi2 "elixirs; sweet wine"
𫠆 kui3 "raise one's head"
砵 bo1 "alms bowl"
砠 qu1 "rocky hill"
砫 zhu3 "ancestral tablet"
砬 la2 "a huge boulder; a towering rock"
硁 keng1 obstinate
恧 nü4 ashamed
翃 hong2 "to swarm (of insects)"
郪 qi1 "name of a river; place name"
辀 zhou1 "(literary) shaft (of a cart); cart"
辁 quan2 "limited (of talent or ability)"
剕 fei4 "amputation of limbs as corporal punishment"
赀 zi1 "to estimate"
哢 long4 "to sing or chirp (of birds); music sound"
晅 xuan1 "light of the sun; to dry in the sun"
哱 bo1 "phonetic bo"
冔 xu3 "cap of yin dynasty"
晔 ye4 "bright light; to sparkle"
晖 hui1 "sunshine; to shine upon"
蚆 ba1 "a kind of shell"
帱 dao4 canopy
帱 chou2 "canopy; curtain"
峿 wu2 "name of a mountain"
崄 xian3 "precipitous; rugged"
帨 shui4 handkerchief
赆 jin4 "farewell presents"
𬬸 shu4 acmite
钷 po3 "promethium (chemistry)"
𬬻 lu2 "rutherfordium (chemistry)"
𬬿 zhao1 sickle
眚 sheng3 "cataract of the eye; error"
甡 shen1 "multitude; crowd"
笫 zi3 "bamboo mat; bed mat"
倞 jing4 "strong; powerful"
倞 liang4 "distant; to seek; bright"
𫢸 dan4 "great; severe"
倓 tan2 "quiet; peaceful"
舭 bi3 bilge
瓞 die2 "young melon"
鸰 ling2 "wagtail; lark"
朓 tiao3 "(literary) the appearance of the moon in the west at the end of a lunar month"
胲 hai3 "hydroxylamine (chemistry)"
虓 xiao1 "roar of a tiger"
鱽 dao1 "coilia ectenes"
狴 bi4 (tapir)
峱 nao2 "name of a mountain"
狻 suan1 "(mythical animal)"
眢 yuan1 "inflamed eyelids; parched"
𫗧 su4 "pot of cooked rice"
勍 qing2 "violent; strong"
痄 zha4 mumps
羖 gu3 "black ewe"
敉 mi3 peaceful
烔 tong2 "hot; heated"
烶 ting3 "(literary) in flames; on fire"
𬊈 xun2 "warm up (food)"
浡 bo2 "full; gushing (of fountain)"
浭 geng1 "name of a river in hebei"
浬 li3 "nautical mile"
涄 ping1 "(literary) runny; watery; fluid"
涢 yun2 "(name of a river in hebei)"
浰 li4 "to attend (official functions)"
浼 mei3 "to ask a favor of"
涘 si4 "river bank"
悃 kun3 sincere
悢 liang4 "(literary) sad; melancholy"
𬒈 que4 "boulder; hard"
宧 yi2 "northeastern corner of a room"
窅 yao3 "sunken eyes; deep and hollow; remote and obscure"
窊 wa1 "lowland swamp"
窎 diao4 "(literary) distant; deep; profound"
扆 yi3 screen
袪 qu1 "sleeve opening"
袗 zhen3 "unlined garment"
祧 tiao1 "ancestral hall"
堲 ji2 hate
陴 pi2 parapet
砮 nu3 "flint; (metonym) arrowhead"
哿 ge3 "excellent; happy; well-being"
翀 chong1 soar
剟 duo1 "to prick; to cut blocks, to engrave"
𫄨 chi1 "fine fibers of hemp; linen"
绤 xi4 "coarse hempen fabric"
骍 xing1 "horse (or cattle) of reddish color; bay horse"
琎 jin4 "jade-like stone"
珵 cheng2 "fine jade; jade ornament"
琈 fu2 "(literary) a kind of jade; jade color"
琀 han2 "gems or pearls formerly put into the mouth of a corpse"
珺 jun4 "beautiful jade"
堎 ling2 "mound; tomb"
埼 qi2 headland
掎 ji3 drag
埫 tang3 "flat land"
堌 gu4 "place name"
晢 zhe2 bright
𫮃 shan4 "level spot for sacrifices"
掞 shan4 "easy; quiet"
壸 kun3 "palace corridor; fig. women's quarters; women"
聍 ning2 cerumen
菝 ba2 "smilax china"
萚 tuo4 "fallen leaves and bark"
莿 ci4 "urtica thunbergiana"
勚 yi4 "(literary) toilsome; laborious; (of an edge etc) worn out; blunt"
䓬 zhuo2 "(chemistry) tropylium ion"
萆 bi4 "castor seed"
菂 di4 "(literary) lotus seed"
菼 tan3 "miscanthus sacchariflorus (amur silvergrass); miscanthus sinensis (feather grass)"
菉 lu4 "arthraxon ciliare; green; rhodacene"
梼 tao2 "dunce; blockhead"
桲 bo2 flail
桯 ting1 "bed side stand"
梣 chen2 "chinese ash (fraxinus chinensis)"
桹 lang2 (palm)
敔 yu3 "percussion instrument shaped as a hollow wooden tiger, with serrated strip across the back, across which one runs a drumstick"
厣 yan3 "operculum (latin: little lid); a covering flap (in various branches of anatomy)"
硙 wei4 "(literary) grindstone; (literary) to mill"
硍 ken4 "rumbling of rolling stones"
䴕 lie4 woodpecker
龁 he2 "(literary) to gnaw; to bite"
逴 chuo4 "apparent; distant; highly"
唪 feng3 "recite; chant"
㫰 lang4 "to dry (sth) in the air"
晙 jun4 "(literary) early morning; (literary) bright"
𬱖 di2 "fine; good; beautiful"
趼 jian3 "(bound form) callus"
跂 qi3 "to climb; to hope"
跂 qi4 "to stand on tiptoe; to sit with feet hanging"
跂 qi2 "sixth (extra) toe; to crawl"
跂 ji1 foot
蚲 ping2 "rice weevil"
𬟽 dong1 rainbow
蚺 ran2 boa
䎃 ran3 "(ornithology) down"
崟 yin2 "high; rugged mountains; steep"
崞 guo1 "name of a mountain"
崒 cui4 "to come together; to bunch up; to concentrate"
崒 zu2 "rocky peaks; lofty and dangerous"
崌 ju1 "mountain name"
铏 xing2 "soup cauldron"
铕 you3 "europium (chemistry)"
𫟼 da2 "darmstadtium (chemistry)"
铚 zhi4 sickle
铥 diu1 "thulium (chemistry)"
牻 mang2 "(literary) black and white cattle"
牿 gu4 "shed or pen for cattle"
笱 gou3 "basket for trapping fish"
笯 nu2 "(literary) birdcage"
偡 zhan4 "(literary) orderly; neat"
鸺 xiu1 owl
偭 mian3 "to transgress"
偲 si1 "talented; urgent"
㿠 huang4 "(literary) (of the face) pale due to qi and blood deficiency"
偓 wo4 constrained
衒 xuan4 "(literary) to boast; to show off"
舳 zhu2 "poopdeck; stern of boat"
舲 ling2 "small boat with windows"
悆 yu4 happy
瓻 chi1 "large wine jar"
脶 luo2 fingerprint
脞 cuo3 "chopped meat; trifles"
鱾 ji3 "(bound form) fish of genus girella"
猇 xiao1 "the scream or roar of a tiger; to intimidate; to scare"
猊 ni2 "(mythical animal); lion; wild beast; wild horse; lion"
觖 jue2 dissatisfied
庼 qing3 "room; small hall"
庳 bi4 "low-built house"
䴔 jiao1 "a kind of aquatic bird"
阌 wen2 "wen xiang, henan province"
羝 di1 "billy goat; ram"
焆 juan1 "(literary) bright"
烺 lang3 "blaze; light"
焌 jun4 "to set fire to; to ignite"
焌 qu1 "to extinguish a burning object; to singe sth with a smoldering object (e.g. burn a hole in one's trousers with a cigarette); to stir-fry; to pour a mixture of hot oil and flavorings over food"
淏 hao4 "(literary) (of water) limpid"
淟 tian3 "turbid; muddy"
淜 peng2 "roar of dashing waves"
淯 yu4 "name of river"
湴 ban4 "mud; slush; ooze"
湴 pan2 "to wade through water or mud"
涴 wo4 "to soil"
惛 hun1 "confused; forgetful; silly"
惔 tan2 "to burn"
悰 cong2 joy
惙 chuo4 "mournful; uncertain"
寁 zan3 swift
逭 huan4 "to escape from"
𫍯 xian2 "to bring into accord; sincerity"
袼 ge1 "gusset; cloth fitting sleeve under armpit"
祲 jin1 "evil force"
𬤊 shi4 "to examine; to judge"
𫍲 xiao3 small
𫍲 sou3 "to induce"
谞 xu1 "(literary) ability and wisdom; scheme; stratagem"
艴 fu2 angry
弸 peng2 "strong bow; bowstring; to fill; full"
弶 jiang4 "snare; to snare"
隃 yu2 "exceed; jump over"
婞 xing4 upright
娵 ju1 "(feminine name); (star)"
婼 chuo4 recalcitrant
媖 ying1 "(complimentary name for a woman)"
婳 hua4 tranquil
婤 zhou1 "(feminine name)"
𬘬 qian4 "dark red color (of silk product)"
𬘭 chen1 "(literary) to stop; kindhearted"
绹 tao2 "bind; cord; twist"
𫘧 lu4 (horse)
絜 jie2 clean
絜 xie2 "marking line; pure; to regulate"
珷 wu3 "inferior gem; a kind of jade"
琲 bei4 necklace
琭 lu4 (jade)
揕 zhen4 "to hit; to thrust"
堧 ruan2 adjoin
堨 e4 "dam; to stop; check"
塅 duan4 "large area of flat terrain (used in place names)"
堠 hou4 "mounds for beacons"
絷 zhi2 "to connect; to tie up"
𪣻 lou3 "small mound"
惎 ji4 "injure; vilify"
葴 zhen1 "physalis alkekengi"
蒇 chan3 "to complete; to prepare"
蒉 kui4 "amaranthus mangostanus"
蓇 gu3 follicle
萩 qiu1 "lespedeza bicolor"
蒐 sou1 "madder (rubia cordifolia); to hunt, esp. in spring; to gather; to collect"
葎 lü4 "humulus japonicus"
鄑 zi1 "place name"
蒎 pai4 pinane
葖 tu2 follicle
棤 cuo4 "rough tree bark"
棫 yu4 "(oak); thorny shrub"
椓 zhuo2 beat
椑 bei1 "fagus sylvatica"
鹀 wu2 "bunting (bird)"
椆 chou2 "species of tree resistant to cold weather"
棬 quan1 bowl
棪 yan3 (tree)
楗 jian4 "material (such as rocks, earth, bamboo etc) used to hastily repair a dike; (literary) door bar (vertical bar used to prevent the horizontal movement of a door bolt)"
酦 po1 "to ferment alcohol"
觌 di2 "face to face"
奡 ao4 "haughty; vigorous"
欹 yi1 interjection
詟 zhe2 "to be frightened"
𫐐 ni2 "clamps for crossbar of carriage"
棐 fei3 "torreya nucifera; strengthen"
睎 xi1 "to long for; to gaze at"
晫 zhuo2 "(literary) splendorous"
晪 tian3 "(literary) bright"
蛑 mou2 "marine crab"
畯 jun4 "overseer; steppe"
斝 jia3 "small jade cup with ears"
喤 huang2 "sobbing; sound of bell"
崶 feng1 "name of a legendary hill"
崾 yao3 "(name of a mountain)"
崿 e4 "cliff; precipice"
嵚 qin1 "loftiness (of mountain)"
翙 hui4 "noise of bird's wings"
𫖮 yi3 "pleasing; respectful manner"
圌 chui2 "name of a mountain"
淼 miao3 "a flood; infinity"
赒 zhou1 "to give to the needy; to bestow alms; charity"
鿏 mai4 "meitnerium (chemistry)"
铹 lao2 "lawrencium (chemistry)"
𬭊 du4 "dubnium (chemistry)"
铽 te4 "terbium (chemistry)"
𨱇 qiu2 "single-headed pick; stone chisel"
锎 kai1 "californium (chemistry)"
𬭎 hong2 "utensil; implement"
锓 qin2 "to carve"
颋 ting3 "narrow forehead"
