我,wo3,i; me; my
添乱,tian1luan4,(coll.) to cause trouble for sb; to inconvenience
添堵,tian1du3,to make people feel even more stressed or annoyed (coll.); to make traffic congestion even worse
添置,tian1zhi4,to buy; to acquire; to add to one's possessions
添补,tian1bu5,to fill (up); to replenish
添办,tian1ban4,to acquire
清人,qing1ren2,qing dynasty person
清仓,qing1cang1,to take an inventory of stock; to clear out one's stock
清偿,qing1chang2,to repay a debt in full; to redeem; to clear
清兵,qing1bing1,qing troops; manchu soldiers
清册,qing1ce4,detailed list; inventory
清剿,qing1jiao3,to suppress (insurgents); clean-up operation
清唱,qing1chang4,to sing opera music (without staging or make up)
清嗓,qing1sang3,to clear one's throat; to hawk
清场,qing1chang3,to clear (a place); to evacuate
清婉,qing1wan3,clear and soft (voice)
清官,qing1guan1,honest and upright official (traditional)
清寒,qing1han2,poor; underprivileged; (of weather) crisp and clear
清屏,qing1ping2,(computing) to clear (all items on the display screen)
清幽,qing1you1,(of a location) quiet and secluded; beautiful and secluded
清廉,qing1lian2,honest; uncorrupted
清廷,qing1ting2,the qing court (as government of china)
清恬,qing1tian2,pure and quiet (of life); tranquil and comfortable
清拆,qing1chai1,demolition (of buildings for new project)
清扫,qing1sao3,to tidy up; to mop up; a sweep (against crime)
清早,qing1zao3,first thing in the morning; at daybreak
清朗,qing1lang3,clear and bright; unclouded; clear and sonorous (voice); clear and lively (narrative)
清末,qing1mo4,late qing
清查,qing1cha2,to investigate thoroughly; to carefully inspect; to verify; to ferret out (undesirable elements)
清正,qing1zheng4,upright and honorable
清水,qing1shui3,qingshui (place name); fresh water; drinking water; clear water
清江,qing1jiang1,qingjiang river in hubei
清油,qing1you2,vegetable cooking oil
清泉,qing1quan2,clear spring
清净,qing1jing4,peaceful; quiet; tranquil
清汤,qing1tang1,broth; clear soup
清涤,qing1di2,to rinse; to wash; to clean; to purge; to comb out
清澄,qing1cheng2,limpid
清澈,qing1che4,clear; limpid
清火,qing1huo3,to clear internal heat (chinese medicine)
清炒,qing1chao3,to stir-fry; to saute
清热,qing1re4,to alleviate fever (medicine); to clear internal heat (chinese medicine)
清炖,qing1dun4,to stew meat without seasoning
清爽,qing1shuang3,fresh and cool; relaxed
清玩,qing1wan2,a refined and elegant object for enjoyment; curio
清莹,qing1ying2,limpid; glistening
清瘦,qing1shou4,meager
清癯,qing1qu2,lean; thin; spare
清白,qing1bai2,pure; innocent
清盘,qing1pan2,liquidation
清真,qing1zhen1,islamic; muslim; halal (of food); clean; pure
清福,qing1fu2,carefree and comfortable life (esp. in retirement)
清秀,qing1xiu4,delicate and pretty
清空,qing1kong1,to clear; to empty
清算,qing1suan4,to settle accounts; to clear accounts; to liquidate; to expose and criticize
清纯,qing1chun2,fresh and pure
清绮,qing1qi3,beautiful; elegant
清苦,qing1ku3,destitute but honest; poor and simple; spartan; austere
清茶,qing1cha2,green tea; only tea (without food)
清蒸,qing1zheng1,steamed in broth
清谈,qing1tan2,light intellectual conversation
清议,qing1yi4,fair criticism; just comment
清贫,qing1pin2,poor but upright; destitute
清越,qing1yue4,clear and melodious
清军,qing1jun1,the qing army
清逸,qing1yi4,fresh and elegant
清道,qing1dao4,to clean the street; to clear the road (i.e. get rid of people for passage of royalty or vip)
清远,qing1yuan3,"qingyuan, prefecture-level city in guangdong"
清迈,qing1mai4,"chiang mai, second city of thailand"
清酌,qing1zhuo2,wine offered to gods in worship
清闲,qing1xian2,idle; leisurely
清关,qing1guan1,customs clearance
清队,qing1dui4,to purge the ranks
清雅,qing1ya3,refined; elegant
清零,qing1ling2,to restore sth to its initial state; to reset (an odometer etc); to empty (a bank account); to eradicate (a disease); (computing) to clear (memory); to zero (a hard drive)
清音,qing1yin1,(phonetics) voiceless sound
清风,qing1feng1,cool breeze; fig. pure and honest
清香,qing1xiang1,sweet scent; fragrant odor
清高,qing1gao1,noble and virtuous; aloof from politics and material pursuits
清丽,qing1li4,lucid and elegant; quiet and exquisite; clear and attractive style
清点,qing1dian3,to check; to make inventory
清党,qing1dang3,to purge a political party of undesirable elements
涣散,huan4san4,to slacken; lax; slack; disorganized
涣然,huan4ran2,as if melting
减低,jian3di1,to lower; to reduce
减俸,jian3feng4,to lower salary; to reduce pay
减价,jian3jia4,to cut prices; to discount; to mark down; price cutting
减刑,jian3xing2,to reduce penalty; shortened or commuted (judicial) sentence
减削,jian3xue1,to reduce; to cut down
减半,jian3ban4,to reduce by half
减去,jian3qu4,minus; to subtract
减噪,jian3zao4,noise reduction
减小,jian3xiao3,to reduce; to decrease; to diminish
减幅,jian3fu2,amount of reduction; size of discount
减息,jian3xi1,to lower the interest rate
减慢,jian3man4,to slow down
减振,jian3zhen4,shock absorption; vibration dampening
减掉,jian3diao4,to subtract; to lose (weight)
减排,jian3pai2,to reduce emissions
减损,jian3sun3,to impair; to degrade; to decrease; to reduce; to weaken; to detract from; impairment (e.g. of financial assets)
减核,jian3he2,disarmament
减法,jian3fa3,subtraction
减灾,jian3zai1,"to take measures to mitigate the impact of disasters (including prevention, preparation, and support for stricken communities)"
减产,jian3chan3,to produce less; to reduce output; lower yield
减益,jian3yi4,debuff (gaming)
减碳,jian3tan4,to reduce carbon emissions
减租,jian3zu1,to reduce rent
减税,jian3shui4,tax cut
减缓,jian3huan3,to slow down; to retard
减色,jian3se4,to fade; (fig.) to lose luster; (of an event etc) to be spoiled; (coinage) to become debased
减薪,jian3xin1,to cut wages
减号,jian3hao4,minus sign - (math.)
减计,jian3ji4,to write down (i.e. to decrease the expected value of a loan)
减负,jian3fu4,to alleviate a burden on sb
减贫,jian3pin2,to reduce poverty; poverty reduction
减退,jian3tui4,to ebb; to go down; to decline
减除,jian3chu2,to reduce; to lessen (pain etc); to deduct (from taxes)
减震,jian3zhen4,shock absorption; damping
减龄,jian3ling2,to become more youthful
渝中,yu2zhong1,"yuzhong (or central chongqing) district of central chongqing municipality, formerly in sichuan"
渝北,yu2bei3,"yubei district of central chongqing municipality, formerly in sichuan"
渠沟,qu2gou1,trench
渠魁,qu2kui2,rebel leader; ringleader; bandit chieftain
渡假,du4jia4,to go on holidays
渡口,du4kou3,ferry crossing
渡河,du4he2,to cross a river
渡船,du4chuan2,ferry
渡轮,du4lun2,ferry boat
渡头,du4tou2,ferry crossing point
渣滓,zha1zi3,residue; dregs; disreputable people
渣男,zha1nan2,(coll.) jerk; scumbag (esp. in romantic relationships)
渤海,bo2hai3,"bohai sea, or bo hai, between liaoning and shandong"
涡喷,wo1pen1,turbojet
涡扇,wo1shan4,turbofan
涡旋,wo1xuan2,eddy; vortex
涡核,wo1he2,eye of a vortex
涡桨,wo1jiang3,turboprop
涡轮,wo1lun2,turbine
测报,ce4bao4,to estimate and report; to assess
测天,ce4tian1,to make astronomical observation
测孕,ce4yun4,pregnancy testing
测序,ce4xu4,(dna etc) sequencing
测度,ce4du4,measure (math.)
测度,ce4duo2,to estimate; to conjecture
测控,ce4kong4,measurement and control
测深,ce4shen1,to sound (sea depth)
测温,ce4wen1,to measure temperature
测知,ce4zhi1,to detect; to sense
测绘,ce4hui4,to survey and draw; to map
测评,ce4ping2,to test and evaluate
测锤,ce4chui2,bob of plumb line
渭南,wei4nan2,"weinan, prefecture-level city in shaanxi"
港人,gang3ren2,hong kong person or people
港元,gang3yuan2,hong kong dollar
港区,gang3qu1,minato area of downtown tokyo; port area
港埠,gang3bu4,port; wharf; sea terminal
港岛,gang3dao3,hong kong island
港币,gang3bi4,hong kong currency; hong kong dollar
港府,gang3fu3,hong kong government
港弯,gang3wan1,harbor
港普,gang3pu3,hong kong pidgin (a mix of standard mandarin and cantonese)
港湾,gang3wan1,natural harbor; bay serving as harbor
港独,gang3du2,hong kong independence
港股,gang3gu3,hong kong shares
港警,gang3jing3,hong kong police; port police
港铁,gang3tie3,(hong kong) mtr (mass transit railway)
渲染,xuan4ran3,rendering (computing); to add washes of ink or color to a drawing (chinese painting); to exaggerate; to embellish
渴慕,ke3mu4,to thirst for
渴求,ke3qiu2,to long for; to crave for; to greatly desire
游动,you2dong4,to move about; to go from place to place; roving; mobile
游弋,you2yi4,"(of a naval vessel) to cruise; to patrol; (of ducks, boats etc) to move about on a lake or river etc"
游击,you2ji1,guerrilla warfare
游标,you2biao1,vernier
游水,you2shui3,to swim
游移,you2yi2,to wander; to shift around; to waver; to vacillate
游丝,you2si1,gossamer; hairspring
游蛇,you2she2,water snake; colubrid; racer
游资,you2zi1,floating capital; idle fund; hot money
游赏,you2shang3,to enjoy the sights (of)
游走,you2zou3,"to swim away; to wander about; to roam; to move back and forth between (government and academia, two or more countries etc); to flow through (a circuit, a network, the body); to skirt (the border of legality); (of a singer's voice) to move within its range; (of a stock price) to fluctuate within (a range)"
渺子,miao3zi3,muon (particle physics)
渺茫,miao3mang2,uncertain; remote; distant and indistinct; vague
渺视,miao3shi4,to think little of; to look down on
渺运,miao3yun4,faraway; distant; remote
渺远,miao3yuan3,distantly remote
浑厚,hun2hou4,simple and honest; unsophisticated; (music etc) deep and resounding
浑圆,hun2yuan2,perfectly round; (fig.) accommodating; considerate; smooth (way of doing things)
浑如,hun2ru2,very similar
浑家,hun2jia1,wife
浑河,hun2he2,hun river
浑浊,hun2zhuo2,muddy; turbid
浑然,hun2ran2,completely; absolutely; undivided; totally mixed up; muddled
浑脱,hun2tuo1,leather float; inflatable raft
浑茫,hun2mang2,the dark ages before civilization; limitless reaches; vague and confused
浑号,hun2hao4,nickname
湉湉,tian2tian2,"(literary) smoothly flowing, placid (water)"
凑付,cou4fu5,to put together hastily; to make do with
凑成,cou4cheng2,to put together; to make up (a set); to round up (a number to a convenient multiple); resulting in...
凑手,cou4shou3,at hand; within easy reach; convenient; handy
凑数,cou4shu4,to serve as a stopgap; to make up a shortfall in the number of people
凑趣,cou4qu4,to comply in order to please others; to accommodate sb else's taste; to make fun of
凑足,cou4zu2,"to scrape together enough (people, money etc)"
凑近,cou4jin4,to approach; to lean close to
凑钱,cou4qian2,to raise enough money to do sth; to pool money; to club together (to do sth)
凑齐,cou4qi2,to collect all the bits to make a whole
𣲗,wei2,to flow back (of water)
湍急,tuan1ji2,rapid (flow of water)
湍流,tuan1liu2,turbulence
湔洗,jian1xi3,to wash
湔涤,jian1di2,to wash
湔雪,jian1xue3,to wipe away (a humiliation); to redress (a wrong)
湖人,hu2ren2,los angeles lakers
湖区,hu2qu1,"lake district, north england"
湖州,hu2zhou1,huzhou prefecture-level city in zhejiang
湖广,hu2guang3,hubei and hunan provinces (a ming dynasty province)
湖沼,hu2zhao3,lakes and marshes
湖滨,hu2bin1,lakeside district; lake front
湖畔,hu2pan4,lakeside
湖边,hu2bian1,lakeside
湘剧,xiang1ju4,xiang opera (hunan)
湘勇,xiang1yong3,"hunan army, irregular force formed in 1850s to fight the taiping heavenly kingdom rebellion"
湘江,xiang1jiang1,the xiangjiang river in hunan province
湘潭,xiang1tan2,"xiangtan, prefecture-level city in hunan"
湘菜,xiang1cai4,hunan cuisine
湘西,xiang1xi1,western hunan
湘语,xiang1yu3,xiang (hunanese) dialect spoken in hunan province
湘军,xiang1jun1,"hunan army, irregular force formed in 1850s to fight the taiping heavenly kingdom rebellion"
湘黔,xiang1qian2,hunan-guizhou
湛蓝,zhan4lan2,azure
湟鱼,huang2yu2,naked carp; gymnocypris przewalskii
涌出,yong3chu1,to gush; to gush out; to pour out
涌泉,yong3quan2,gushing spring
涌流,yong3liu2,to gush; to spurt
涌浪,yong3lang4,swell; billows; surging waves
涌溢,yong3yi4,to well up; to spill out (of water from a spring)
涌起,yong3qi3,to well up; to boil out; to bubble forth; to spurt
涌进,yong3jin4,"to spill; to overflow (of water, crowds); to crowd (into a space)"
湮没,yan1mo4,to bury; to submerge; to pass into oblivion; to obliterate; to annihilate (physics)
湮灭,yin1mie4,to destroy; to disappear; annihilation
汤剂,tang1ji4,decoction; potion
汤加,tang1jia1,"tonga, south pacific archipelago kingdom"
汤勺,tang1shao2,soup ladle
汤包,tang1bao1,steamed dumpling
汤匙,tang1chi2,soup spoon; tablespoon
汤块,tang1kuai4,bouillon cube
汤姆,tang1mu3,tom (name)
汤婆,tang1po2,hot-water bottle
汤川,tang1chuan1,yukawa (name)
汤料,tang1liao4,raw materials for making soup; packaged soup mix
汤汁,tang1zhi1,soup; broth
汤泉,tang1quan2,hot spring (archaic)
汤盘,tang1pan2,soup plate
汤碗,tang1wan3,soup bowl
汤药,tang1yao4,tisane; decoction (chinese medicine)
汤类,tang1lei4,soup dishes (on menu)
溉涤,gai4di2,to wash
溏便,tang2bian4,(tcm) unformed stool; semiliquid stool
溏心,tang2xin1,soft yolk (of a cooked egg)
源流,yuan2liu2,(of watercourses) source and direction of flow; origin and development
源码,yuan2ma3,source code (computing)
源自,yuan2zi4,to originate from
源起,yuan2qi3,to originate
源点,yuan2dian3,source
准保,zhun3bao3,certainly; for sure
准将,zhun3jiang4,brigadier general; commodore
准星,zhun3xing1,front sight (firearms); the zero point indicator marked on a steelyard
准的,zhun3di4,standard; norm; criterion
准线,zhun3xian4,directrix line of a parabola; guide line
准绳,zhun3sheng2,yardstick; fig. criterion; ground rule
准头,zhun3tou2,(physiognomy) the tip of the nose
准头,zhun3tou5,(coll.) accuracy
溘然,ke4ran2,suddenly
溜冰,liu1bing1,ice skating; (slang) to do meth
溜圆,liu1yuan2,perfectly round
溜槽,liu1cao2,sluice; chute
溜狗,liu1gou3,to take a dog for a walk
溜索,liu1suo3,zip line
溜舐,liu1shi4,to flatter obsequiously; toady
溜号,liu1hao4,(coll.) to slink off
溜走,liu1zou3,to slip away; to leave secretly
溜边,liu1bian1,"to keep to the edge (of path, river etc); fig. to keep out of trouble; to avoid getting involved"
沟壑,gou1he4,gorge; gulch; ravine; deep ditch
沟槽,gou1cao2,groove; furrow; trench
沟渠,gou1qu2,channel; moat; irrigation canal
沟涧,gou1jian4,gully; ravine
沟谷,gou1gu3,gully
沟道,gou1dao4,groove
溟岛,ming2dao3,an island in the sea
溟池,ming2chi2,the northern sea
溟海,ming2hai3,a dark sea
溟溟,ming2ming2,drizzling; gloomy; dim; obscure
溟漭,ming2mang3,vast and boundless
溟蒙,ming2meng2,drizzling; gloomy; dim; obscure
溢价,yi4jia4,premium; to pay a premium
溢出,yi4chu1,to overflow; to spill over; (computing) overflow
溢满,yi4man3,overflowing
溥俊,pu3jun4,a qing prince who was the designated successor to emperor guangxu until the boxer uprising
溪壑,xi1he4,valley; mountain gorge
溪径,xi1jing4,path; way through; channel
溪流,xi1liu2,stream
溪涧,xi1jian4,stream; mountain gorge
溪蟹,xi1xie4,crab of the family potamidae of freshwater crabs
溪谷,xi1gu3,valley; gorge
温乎,wen1hu5,warm; lukewarm
温厚,wen1hou4,good-natured; warm and generous; gentle
温吞,wen1tun1,tepid; lukewarm; (fig.) apathetic; half-hearted; sluggish; mild-tempered
温和,wen1huo5,lukewarm
温压,wen1ya1,temperature and pressure
温婉,wen1wan3,sweet-tempered; gentle
温存,wen1cun2,tender; affectionate; tenderness
温居,wen1ju1,to have a housewarming party; to celebrate moving into a new home
温州,wen1zhou1,"wenzhou, prefecture-level city in zhejiang"
温差,wen1cha1,difference in temperature
温带,wen1dai4,temperate zone
温床,wen1chuang2,hotbed; breeding ground; fig. breeding ground for crimes or sedition
温情,wen1qing2,tenderness; warmth; warmhearted; softhearted
温文,wen1wen2,genteel
温标,wen1biao1,temperature scale
温温,wen1wen1,mild
温润,wen1run4,gentle; kindly; mild and humid (climate)
温煦,wen1xu4,warm
温热,wen1re4,tepid; to warm up (food etc)
温理,wen1li3,to review (a lesson etc); to bring back to one's mind
温网,wen1wang3,wimbledon championships (tennis)
温良,wen1liang2,warm and kind
温蔼,wen1ai3,gentle and kind
温血,wen1xue4,warm blooded (animal)
温觉,wen1jue2,heat sensation
温酒,wen1jiu3,to warm up wine
温雅,wen1ya3,gentle; refined
温静,wen1jing4,quiet and gentle
温顺,wen1shun4,docile; meek
温饱,wen1bao3,to have enough food and warm clothes; adequately provided
温驯,wen1xun4,docile; meek; harmless; moderate and obedient; tame
溯源,su4yuan2,to investigate the origin of sth; to trace a river upstream back to its source
溯溪,su4xi1,river tracing; mountain stream climbing (recreational activity)
溶剂,rong2ji4,solvent
溶化,rong2hua4,to melt; to dissolve (of sugar etc)
溶栓,rong2shuan1,thrombolysis (med.)
