的 de
了 le
俱乐部 ju4le4bu4
裙子 qun2zi5 skirt
舌头 she2tou5 "tongue; enemy soldier captured for the purpose of extracting information"
柜子 gui4zi5 "cupboard; cabinet"
书柜 shu1gui4 bookcase
金额 ji1ne2
名额 min2ge2
塑料袋 su4liao4dai4
塑料 su4liao4 plastics
炮 pao4 "cannon; firecracker"
薪水 xin1shui5
盼望 pan4wang4 "to hope for; to look forward to"
浮 fu2 "to float; superficial; floating; unstable; movable; provisional; temporary; transient; impetuous; hollow; inflated; to exceed; superfluous; excessive; surplus"
肌肉 ji1rou4 "muscle; flesh"
燃料 ran2liao4 fuel
燃烧 ran2shao1 "to ignite; to combust; to burn; combustion; flaming"
点燃 dian3ran2 "to ignite; to set on fire; aflame"
闯 chuang3 "to rush; to charge; to dash; to break through; to temper oneself (through battling hardships)"
铅笔 qian1bi3 "(lead) pencil"
丧失 sang4shi1 "to lose; to forfeit"
赖 lai4 "to depend on; to hang on in a place; bad; to renege (on promise); to disclaim; to rat (on debts); rascally; to blame; to put the blame on"
依赖 yi1lai4 "to depend on; to be dependent on"
铜牌 tong2pai2 "bronze medal; bronze plaque bearing a business name or logo etc"
捉 zhuo1 "to clutch; to grab; to capture"
踏实 ta1shi5 "firmly-based; steady; steadfast; to have peace of mind; free from anxiety"
踏 ta4 "to tread; to stamp; to step on; to press a pedal; to investigate on the spot"
扭 niu3 "to turn; to twist; to wring; to sprain; to swing one's hips"
亏 kui1 "deficiency; deficit; luckily; it's lucky that...; (often ironically) fancy that..."
加盟 jia1meng2 "to become a member of an alliance or union; to align; to join; participate"
联盟 lian2meng2 "alliance; union; coalition"
呀 ya
哎呀 ai1ya1 "interjection of wonder, shock or admiration"
披 pi1 "to drape over one's shoulders; to open; to unroll; to split open; to spread out"
火箭 huo3jian4 rocket
箭 jian4 arrow
乳制品 ru3zhi4pin3
血液 xue4ye4 blood
桥梁 qiao2liang2 "bridge (lit. and fig.)"
饱 bao3 "to eat till full; satisfied"
饱和 bao3he2 saturation
饱满 bao3man3 "full; plump"
悬 xuan2 "to hang or suspend; to worry; public announcement; unresolved; baseless; without foundation"
繁荣 fan2rong2 "prosperous; booming (economy)"
频繁 pin2fan2 "frequently; often"
壶 hu2 "pot; classifier for bottled liquid"
慌忙 huang1mang2 "in a great rush; in a flurry"
慌 huang1 "to get panicky; to lose one's head; terribly"
果酱 guo3jiang4 jam
酱 jiang4 "thick paste of fermented soybean; marinated in soy paste; paste; jam"
酱油 jiang4you2 "soy sauce"
奉献 feng4xian4 "to offer respectfully; to consecrate; to dedicate; to devote"
西瓜 xi1gua5
截止 jie2zhi3 "to close; to stop; to put a stop to sth; cut-off point; stopping point; deadline"
截至 jie2zhi4 "up to (a time); by (a time)"
强壮 qiang2zhuang4 "strong; sturdy; robust"
壮观 zhuang4guan1 "spectacular; magnificent sight"
喷 pen1 "to puff; to spout; to spray; to spurt"
糟 zao1 "dregs; draff; pickled in wine; rotten; messy; ruined"
糟糕 zao1gao1 "too bad; how terrible; what bad luck; terrible; bad"
夺 duo2 "to seize; to take away forcibly; to wrest control of; to compete or strive for; to force one's way through; to leave out; to lose"
夺取 duo2qu3 "to seize; to capture; to wrest control of"
争夺 zheng1duo2 "to fight over; to contest; to vie over"
咳 hai1 "sound of sighing; (interjection expressing surprise, sorrow, regret, disappointment etc) oh; damn; wow"
券 quan4 "bond (esp. document split in two, with each party holding one half); contract; deed (i.e. title deeds); ticket; voucher; certificate"
桃 tao2 peach
桃树 tao2shu4 "peach tree"
桃花 tao2hua1 "peach blossom; (fig.) love affair"
延长 yan2chang2 "to prolong; to extend; to delay"
延期 yan2qi1 "to delay; to extend; to postpone; to defer"
延续 yan2xu4 "to continue; to go on; to last"
延伸 yan2shen1 "to extend; to spread"
救援 jiu4yuan2 "to save; to support; to help; to assist"
援助 yuan2zhu4 "to help; to support; to aid; aid; assistance"
支援 zhi1yuan2 "to provide assistance; to support; to back"
审查 shen3cha2 "to examine; to investigate; to censor out; censorship"
咸 xian2 "all; everyone; each; widespread; harmonious; salted; salty; stingy; miserly"
斑点 ban1dian3 "spot; stain; speckle"
馒头 man2tou5 "steamed roll; steamed bun; steamed bread"
绘画 hui4hua4 "drawing; painting"
筷子 kuai4zi5 chopsticks
打扰 da3rao3 "to disturb; to bother; to trouble"
干扰 gan1rao3 "to disturb; to interfere; perturbation; interference (physics)"
困扰 kun4rao3 "to perplex; to disturb; to cause complications"
鉴定 jian4ding4 "to appraise; to identify; to evaluate"
借鉴 jie4jian4 "to draw on (others' experience); to learn from (how others do things); lesson to be learned (by observing others)"
围巾 wei2jin1 "scarf; shawl"
侵犯 qin1fan4 "to infringe on; to encroach on; to violate; to assault"
勤奋 qin2fen4 "hardworking; diligent"
平坦 ping2tan3 "level; even; smooth; flat"
棉 mian2 "generic term for cotton or kapok; cotton; padded or quilted with cotton"
洒 sa3 "to sprinkle; to spray; to spill; to shed"
渡 du4 "to cross; to pass through; to ferry"
过渡 guo4du4 "to cross over (by ferry); transition; interim; caretaker (administration)"
果汁 guo3zhi1 "fruit juice"
崩溃 beng1kui4 "to collapse; to crumble; to fall apart"
仓库 cang1ku4 "depot; storehouse; warehouse"
捕 bu3 "to catch; to seize; to capture"
被捕 bei4bu3 "to be arrested; under arrest"
分裂 fen1lie4 "to split up; to divide; to break up; fission; schism"
裂 lie4 "to split; to crack; to break open; to rend"
柱子 zhu4zi5 pillar
作废 zuo4fei4 "to become invalid; to cancel; to delete; to nullify"
半途而废 ban4tu2er2fei4
报废 bao4fei4 "to scrap; to dispose of (sth worn-out or damaged)"
清洁 qing1jie2 "clean; to clean"
清洁工 qing1jie2gong1
梨 li2 pear
伴侣 ban4lü3 "companion; mate; partner"
叉子 cha1zi5 fork
叉 cha1 "fork; pitchfork; prong; pick; cross; intersect"
扒 ba1 "to peel; to skin; to tear; to pull down; to cling to (sth on which one is climbing); to dig"
袜子 wa4zi5 "socks; stockings"
振动 zhen4dong4 "to vibrate; to shake; vibration"
暴风骤雨 bao4feng1zhou4yu3
倡导 chang4dao3 "to advocate; to initiate; to propose; to be a proponent of (an idea or school of thought)"
提倡 ti2chang4 "to promote; to advocate"
曝光 bao4guang1 "to expose (photography); (fig.) to expose (a scandal); (advertising) exposure"
恰当 qia4dang4 "appropriate; suitable"
恰好 qia4hao3 "as it turns out; by lucky coincidence; (of number, time, size etc) just right"
恰恰 qia4qia4 "exactly; just; precisely"
煤 mei2 coal
煤气 mei2qi4 "coal gas; gas (fuel)"
霸占 ba4zhan4 "to occupy by force; to seize; to dominate"
宏大 hong2da4 "great; grand"
柏树 bai3shu4 "cypress tree"
纠纷 jiu1fen1 dispute
纠正 jiu1zheng4 "to correct; to make right"
除夕 chu2xi1 "lunar new year's eve"
朗读 lang3du2 "to read aloud"
晴朗 qing2lang3 "sunny and cloudless"
岸 an4 "bank; shore; beach; coast"
岸上 an4shang4 "ashore; on the riverbank"
两岸 lian3gan4
饺子 jiao3zi5 "dumpling; pot-sticker"
宇航员 yu3hang2yuan2
宠物 chong3wu4 "house pet"
胶带 jiao1dai4 "adhesive tape; magnetic tape"
胶水 jiao1shui3 glue
觉悟 jue2wu4 "to come to understand; to realize; consciousness; awareness"
大纲 da4gang1 "synopsis; outline; program; leading principles"
窗帘 chuang1lian2 "window curtains"
熬 ao2 "to cook on a slow fire; to extract by heating; to decoct; to endure"
熬夜 ao2ye4 "to stay up late or all night"
牢 lao2 "firm; sturdy; fold (for animals); sacrifice; prison"
微波炉 wei1bo1lu2
肝 gan1 "liver; (slang) to put in long hours, typically late into the night, playing (a video game); (of a video game) involving a lot of repetition in order to progress; grindy"
肠 chang2 intestines
香肠 xiang1chang2 sausage
安抚 an1fu3 "to placate; to pacify; to appease"
循环 xun2huan2 "to cycle; to circulate; circle; loop"
拆迁 chai1qian1 "to demolish a building and relocate the inhabitants"
搬迁 ban1qian1 "to move; to relocate; removal"
变迁 bian4qian1 "changes; vicissitudes"
阴谋 yin1mou2 "plot; conspiracy"
蹦 beng4 "to jump; to bounce; to hop"
盲人 mang2ren2 "blind person"
旋转 xuan2zhuan3 "to rotate; to revolve; to spin; to whirl"
肿 zhong3 "to swell; swelling; swollen"
羽毛球 yu3mao2qiu2
消耗 xiao1hao4 "to use up; to consume"
一贯 yi1guan4 "consistent; constant; from start to finish; all along; persistent"
报仇 bao4chou2 "to take revenge; to avenge"
撤销 che4xiao1 "to repeal; to revoke; (computing) to undo"
撤离 che4li2 "to withdraw from; to evacuate"
门诊 men2zhen3 "outpatient service"
诊断 zhen3duan4 "diagnosis; to diagnose"
辨别 bian4bie2 "to distinguish; to differentiate; to discern; to recognize; to tell"
辨认 bian4ren4 "to recognize; to identify"
潜力 qian2li4 "potential; capacity"
贺卡 he4ka3 "greeting card; congratulation card"
祝贺 zhu4he4 "to congratulate; congratulations"
长寿 chang2shou4 "changshou suburban district of chongqing municipality, formerly in sichuan; longevity; long-lived"
寿司 shou4si1 sushi
葡萄 pu2tao5 grape
葡萄酒 pu2tao5jiu3
比喻 bi3yu4 "to compare; to liken to; metaphor; analogy; figure of speech; figuratively"
轨道 gui3dao4 "track (for trains etc); orbit (of a satellite); (fig.) a person's established path in life; desired trajectory (of a business or other endeavor); (audio engineering) track; (quantum mechanics) orbital"
膜 mo2 "membrane; film"
便捷 bian4jie2 "convenient and fast"
辩 bian4 "to dispute; to debate; to argue; to discuss"
辩护 bian4hu4 "to speak in defense of; to argue in favor of; to defend; to plead"
辩解 bian4jie3 "to explain; to justify; to defend (a point of view etc); to provide an explanation; to try to defend oneself"
郊区 jiao1qu1 "suburban district; outskirts; suburbs"
昂贵 ang2gui4 "expensive; costly"
火柴 huo3chai2 "match (for lighting fire)"
昌盛 chang1sheng4 prosperous
八卦 ba1gua4 "gossip; gossipy"
巩固 gong3gu4 "to consolidate; consolidation; to strengthen"
背诵 bei4song4 "to recite; to repeat from memory"
广阔 guang3kuo4 "wide; vast"
宽阔 kuan1kuo4 "expansive; wide; width; thickness"
阔 kuo4 "rich; wide; broad"
颁发 ban1fa1 "to issue; to promulgate; to award"
颁奖 ban1jiang3 "to confer an award"
颁布 ban1bu4 "to issue; to proclaim; to enact (laws, decrees etc)"
忠心 zhong1xin1 "good faith; devotion; loyalty; dedication"
幼儿园 you4er2yuan2
宴会 yan4hui4 "banquet; feast; dinner party"
熟悉 shu2xi5
盗版 dao4ban3 "pirated; illegal"
强盗 qiang2dao4 "to rob (with force); bandit; robber"
醋 cu4 "vinegar; jealousy (in love rivalry)"
报酬 bao4chou5 "reward; remuneration"
吉祥 ji2xiang2 "lucky; auspicious; propitious"
账 zhang4 "account; bill; debt"
账户 zhang4hu4 "bank account; online account"
肺 fei4 lung
剥 bo1 "to peel; to skin; to flay; to shuck"
操纵 cao1zong4 "to operate; to control; to rig; to manipulate"
碑 bei1 "a monument; an upright stone tablet; stele"
吞 tun1 "to swallow; to take"
拌 ban4 "to mix; to mix in; to toss (a salad)"
墓 mu4 "grave; tomb; mausoleum"
背叛 bei4pan4 "to betray"
先锋 xian1feng1 "vanguard; pioneer; avant-garde"
安逸 an1yi4 "easy and comfortable; easy"
债 zhai4 debt
照耀 zhao4yao4 "to shine; to illuminate"
率先 shuai4xian1 "to take the lead; to show initiative"
效率 xiao4lü4 efficiency
率领 shuai4ling3 "to lead; to command; to head"
癌 ai2 "cancer; carcinoma"
癌症 ai2zheng4 cancer
发炎 fa1yan2 "to become inflamed; inflammation"
豹 bao4 "leopard; panther"
畅通 chang4tong1 "unimpeded; free-flowing; straight path; unclogged; move without obstruction"
储存 chu3cun2 "stockpile; to store; to stockpile; storage"
顽皮 wan2pi2 naughty
顽强 wan2qiang2 "tenacious; hard to defeat"
鄙视 bi3shi4 "to despise; to disdain; to look down upon"
谦虚 qian1xu1 "modest; self-effacing; to make modest remarks"
勺 shao2 "spoon; ladle"
卑鄙 bei1bi3 "base; mean; contemptible; despicable"
香蕉 xiang1jiao1 banana
弊病 bi4bing4 "malady; evil; malpractice; drawback; disadvantage"
弊端 bi4duan1 "systemic problem (sometimes refers specifically to corrupt practices)"
逻辑 luo2ji5
阻碍 zu3ai4 "to obstruct; to hinder; to block; obstruction; hindrance"
障碍 zhan4gai4
碍事 ai4shi4 "to be in the way; to be a hindrance; (usu. in the negative) to be of consequence; to matter"
把柄 ba3bing3 "handle; (fig.) information that can be used against sb"
矿 kuang4 "ore; mine"
保佑 bao3you4 "to bless and protect; blessing"
包袱 bao1fu5 "wrapping cloth; a bundle wrapped in cloth; load; weight; burden; funny part; punchline"
暴躁 bao4zao4 "irascible; irritable; violent"
芭蕾 ba1lei3
煲 bao1 "to cook slowly over a low flame; pot; saucepan"
坝 ba4 "dam; dike; embankment"
鼻涕 bi2ti4 "nasal mucus; snivel; snot"
磅 bang4 "platform balance"
贬值 bian3zhi2 "to become devaluated; to devaluate; to depreciate"
绷带 beng1dai4
绷 beng3 "to have a taut face"
军舰 jun1jian4 "warship; military naval vessel"
凹 ao1 "depressed; sunken; indented; concave; female (connector etc)"
掰 bai1 "to break off or break open sth with one's hands; (fig.) to break off (a relationship)"
辫子 bian4zi5 "plait; braid; pigtail; a mistake or shortcoming that may be exploited by an opponent; handle"
鞭策 bian1ce4 "to spur on; to urge on; to encourage sb (e.g. to make progress)"
鞭炮 bian1pao4 "firecrackers; string of small firecrackers"
队伍 dui4wu5
细菌 xi4jun1 "bacterium; germ"
堡垒 bao3lei3 fort
氧气 yang3qi4 oxygen
番茄 fan1qie2 tomato
茄子 qie2zi5 "eggplant (solanum melongena l.); aubergine; brinjal; guinea squash"
羽绒服 yu3rong2fu2
哇 wa
繁殖 fan2zhi2 "to breed; to reproduce; to propagate"
扳 ban1 "to pull; to turn (sth) around; to turn around (a situation); to recoup"
飙升 biao1sheng1 "to rise rapidly; to soar"
贝壳 bei4ke2 "shell; conch; cowry; mother of pearl; hard outer skin"
绿 lü4 green
绿色 lü4se4 green
绿化 lü4hua4 "to make green with plants; to reforest; (internet slang) islamization"
碧绿 bi4lü4 "dark green"
薯片 shu3pian4 "fried potato chips"
薯条 shu3tiao2 "french fries; french fried potatoes; chips"
啤酒 pi2jiu3
西红柿 xi1hong2shi4
靶子 ba3zi5 target
吗 ma
干吗 gan4ma2
…极了 ji2le5
了 le
就是 jiu4shi4 "exactly; precisely; only; simply; just; even if"
看上去 kan4shang5qu5 "it would appear; it seems (that)"
将来 jiang1lai2 "in the future; future; the future"
没用 mei2yong4 useless
开始 kai1shi3 "to begin; beginning; to start; initial"
看起来 kan4qi5lai5
叫 jiao4 "to shout; to call; to order; to ask; to be called; by (indicates agent in the passive mood)"
美 mei3 "beautiful; very satisfactory; good; to beautify; to be pleased with oneself"
美好 mei3hao3 "beautiful; fine"
美元 mei3yuan2 "american dollar; us dollar"
开发 kai1fa5
进展 jin4zhan3 "to make headway; to make progress"
开展 kai1zhan3 "to launch; to develop; to unfold; (of an exhibition etc) to open"
老太太 lao3tai4tai5 "elderly lady (respectful); esteemed mother"
较 jiao4 "to compare; to dispute; compared to; (before adj.) relatively; comparatively; rather"
连 lian2 "to link; to join; to connect; continuously; in succession; including; company (military)"
老头儿 lao3tou2
每 mei3 "each; every"
开放 kai1fang4 "to bloom; to open; to be open (to the public); to open up (to the outside); to be open-minded; unrestrained by convention; unconstrained in one's sexuality"
经济 jing1ji4 "economy; economic"
就业 jiu4ye4 "to get a job; employment"
开业 kai1ye4 "to open a business; to open a practice; open (for business)"
里面 li3mian5
面对 mian4dui4 "to face; to confront"
另一方面 ling4yi1fang1mian4
另外 ling4wai4 "additional; in addition; besides; separate; other; moreover; furthermore"
结实 jie1shi5 "rugged; sturdy; strong; durable; buff (physique)"
理发 li3fa4 "to get a haircut; to have one's hair done; to cut (sb's) hair; to give (sb) a haircut"
理论 li3lun4 "theory; to argue; to take notice of"
理由 li3you2 "reason; grounds; justification"
米 mi3 "rice; meter (classifier)"
难道 nan2dao4 "don't tell me ...; could it be that...?"
加快 jia1kuai4 "to accelerate; to speed up"
经历 jing1li4 "experience; to experience; to go through"
美术 mei3shu4 "art; fine arts; painting"
连续 lian2xu4 "continuous; in a row; serial; consecutive"
决定 jue2ding4 "to decide (to do something); to resolve; decision; certainly"
决心 jue2xin1 "determination; resolution; determined; firm and resolute; to make up one's mind"
解决 jie3jue2 "to solve; to resolve; to settle (a problem); to eliminate; to wipe out (an enemy, bandits etc)"
解开 jie3kai1 "to untie; to undo; to solve (a mystery)"
理解 li3jie3 "to comprehend; to understand"
目前 mu4qian2 "at the present time; currently"
精神 jing1shen5 "vigor; vitality; drive; spiritual"
